"year","division","region","state","state.code","est_pop","sum_total_homeless","sum_unemploy_rate","mean.homeless","mean.unemploy","homeless_proportion","unemploy_proportion"
2008,"West North Central","Midwest","South Dakota","SD",799124,579,245.5,839.2,333.56,0.00072454337499562,0.000307211396479145
2008,"East South Central","South","Tennessee","TN",6247411,9705,683.7,9710.7,893,0.00155344349843479,0.000109437333320955
2008,"West South Central","South","Texas","TX",24309039,40190,0,32773.3,1161.96,0.00165329448029599,0
2008,"Mountain","West","Utah","UT",2663029,3434,129.1,3237.1,204.88,0.00128950905153493,4.84786309123934e-05
2008,"New England","Northeast","Vermont","VT",624151,954,79.4,1238,86.63,0.00152847628218172,0.000127212805875501
2008,"South Atlantic","South","Virginia","VA",7833496,8469,0,8130.1,745.68,0.00108112648554362,0
2008,"Pacific","West","Washington","WA",6562231,21954,296,20838.4,384.88,0.00334550856256051,4.51066108462198e-05
2008,"South Atlantic","South","West Virginia","WV",1840310,2016,327.4,2045.2,470.39,0.00109546761143503,0.000177904809515788
2008,"East North Central","Midwest","Wisconsin","WI",5640996,5449,439.4,5966.8,580.5,0.000965964166611712,7.78940456614399e-05
2008,"Mountain","West","Wyoming","WY",546043,751,88.1,859.8,127.62,0.00137534956038261,0.000161342604886428
2009,"East South Central","South","Alabama","AL",4757938,6080,794.8,5106.3,624,0.00127786448667469,0.000167047153619908
2009,"Mountain","West","Arizona","AZ",6343154,14721,166,11803.2,149.56,0.00232076976217194,2.6169946370528e-05
2009,"West South Central","South","Arkansas","AR",2896843,2852,681,3211.4,633.61,0.000984520044752166,0.000235083502972029
2009,"Pacific","West","California","CA",36961229,123678,712.7,123428.5,498.51,0.00334615496687083,1.92823674775533e-05
2009,"Mountain","West","Colorado","CO",4972195,15268,387.4,13189.1,415.96,0.00307067602939949,7.7913275726314e-05
2009,"New England","Northeast","Connecticut","CT",3561807,4605,58.1,4354.2,58.62,0.00129288307872942,1.63119450323951e-05
2009,"South Atlantic","South","Delaware","DE",891730,1130,24.1,1001.9,20.7,0.00126719971291759,2.70261177710742e-05
2009,"Pacific","West","Hawaii","HI",1346717,5782,31.7,6497.5,22.91,0.00429340388515182,2.3538724171448e-05
2009,"Mountain","West","Idaho","ID",1554439,1939,404.5,1976.3,352.13,0.00124739536257132,0.000260222498277514
2009,"East North Central","Midwest","Illinois","IL",12796778,14055,948.4,13811.3,890.01,0.00109832334357914,7.41124054820674e-05
2009,"East North Central","Midwest","Indiana","IN",6459325,6984,963.2,6437.2,755.65,0.00108122752764414,0.00014911774837154
2009,"West North Central","Midwest","Iowa","IA",3032870,3380,738.5,3088.7,585.65,0.00111445594436952,0.000243498732223933
2009,"West North Central","Midwest","Kansas","KS",2832704,1670,554,2094.9,532.9,0.000589542712546034,0.000195572851946409
2009,"East South Central","South","Kentucky","KY",4317074,5999,0,5919.3,939.44,0.00138959860312795,0
2009,"West South Central","South","Louisiana","LA",4491648,12504,0,7093.1,328.47,0.00278383346157134,0
2009,"New England","Northeast","Maine","ME",1329590,2444,151.8,2528.8,128.84,0.00183816063598553,0.000114170533773569
