"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","avg_homeless_07to16","avg_unemploy_07to16","Estimate Date","Estimate"
2009,"Louisiana","LA",12504,0,7093.1,328.47,"EST_JUL_2009",4491648
2009,"Maine","ME",2444,151.8,2528.8,128.84,"EST_JUL_2009",1329590
2009,"Maryland","MD",11698,184.9,9319.2,175.84,"EST_JUL_2009",5730388
2009,"Massachusetts","MA",15482,121.2,17693.5,113.1,"EST_JUL_2009",6517613
2009,"Michigan","MI",14005,0,15296.9,658.28,"EST_JUL_2009",9901591
2009,"Minnesota","MN",7718,802.6,7727.1,651.42,"EST_JUL_2009",5281203
2009,"Mississippi","MS",2797,866.9,2194.7,851.98,"EST_JUL_2009",2958774
2009,"Missouri","MO",7181,1079.1,7911,917.75,"EST_JUL_2009",5961088
2009,"Montana","MT",1196,409.9,1572.9,354.64,"EST_JUL_2009",983982
2009,"Nebraska","NE",3718,424.4,3411.7,381.19,"EST_JUL_2009",1812683
2009,"Nevada","NV",11089,155,8907.1,156.47,"EST_JUL_2009",2684665
2009,"New Hampshire","NH",1645,59.1,1608.5,52.18,"EST_JUL_2009",1316102
2009,"New Jersey","NJ",13169,179.8,12788,175.24,"EST_JUL_2009",8755602
2009,"New Mexico","NM",3475,220.6,3028.3,241.53,"EST_JUL_2009",2036802
2009,"New York","NY",61067,533.4,71603.2,497.59,"EST_JUL_2009",19307066
2009,"North Carolina","NC",12918,1146.9,11964.5,935.65,"EST_JUL_2009",9449566
2009,"North Dakota","ND",773,309.2,966.9,249.92,"EST_JUL_2009",664968
2009,"Ohio","OH",12700,988.6,12218.6,807.37,"EST_JUL_2009",11528896
2009,"Oklahoma","OK",4838,435.1,4427.4,436.06,"EST_JUL_2009",3717572
2009,"Oregon","OR",17309,456.6,16057.6,360.16,"EST_JUL_2009",3808600
2009,"Pennsylvania","PA",15096,589.8,15222.1,523.41,"EST_JUL_2009",12666858
2009,"Rhode Island","RI",1607,53.3,1264.9,44.97,"EST_JUL_2009",1053646
2009,"South Carolina","SC",4473,577.8,5228,469.11,"EST_JUL_2009",4589872
2009,"South Dakota","SD",731,372.5,839.2,333.56,"EST_JUL_2009",807067
2009,"Tennessee","TN",10532,1169.2,9710.7,893,"EST_JUL_2009",6306019
2009,"Texas","TX",36761,0,32773.3,1161.96,"EST_JUL_2009",24801761
2009,"Utah","UT",3795,239.3,3237.1,204.88,"EST_JUL_2009",2723421
2009,"Vermont","VT",1214,105.5,1238,86.63,"EST_JUL_2009",624817
2009,"Virginia","VA",8852,0,8130.1,745.68,"EST_JUL_2009",7925937
2009,"Washington","WA",22782,380.9,20838.4,384.88,"EST_JUL_2009",6667426
2009,"West Virginia","WV",1667,414,2045.2,470.39,"EST_JUL_2009",1847775
2009,"Wisconsin","WI",6525,637.3,5966.8,580.5,"EST_JUL_2009",5669264
2009,"Wyoming","WY",515,123.2,859.8,127.62,"EST_JUL_2009",559851
2010,"Alabama","AL",6046,968.3,5106.3,624,"EST_JUL_2010",4785492
2010,"Arizona","AZ",13711,212.3,11803.2,149.56,"EST_JUL_2010",6408312
